BER,n,k,t,Average Bit Errors
1.1288378916846883e-05,63,39,5,62.0
1.1288378916846883e-05,127,120,1,64.0
1.1288378916846883e-05,127,50,6,54.0
1.8329807108324375e-05,7,4,1,32.002
1.8329807108324375e-05,15,11,1,30.0
1.8329807108324375e-05,15,7,2,36.002
1.8329807108324375e-05,15,5,3,30.0
1.8329807108324375e-05,31,26,1,52.0
1.8329807108324375e-05,31,11,4,30.01
1.8329807108324375e-05,63,57,1,64.0
1.8329807108324375e-05,63,39,5,62.0
1.8329807108324375e-05,127,120,1,64.0
1.8329807108324375e-05,127,50,6,54.0
2.9763514416313192e-05,7,4,1,32.0
2.9763514416313192e-05,15,11,1,30.0
2.9763514416313192e-05,15,7,2,36.0
2.9763514416313192e-05,15,5,3,30.0
2.9763514416313192e-05,31,26,1,52.0
2.9763514416313192e-05,31,11,4,30.0
2.9763514416313192e-05,63,57,1,64.0
2.9763514416313192e-05,63,39,5,62.0
2.9763514416313192e-05,127,120,1,64.0
2.9763514416313192e-05,127,50,6,54.0
4.8329302385717524e-05,7,4,1,32.004
4.8329302385717524e-05,15,11,1,30.002
4.8329302385717524e-05,15,7,2,35.998
4.8329302385717524e-05,15,5,3,30.0
4.8329302385717524e-05,31,26,1,52.014
4.8329302385717524e-05,31,11,4,30.0
4.8329302385717524e-05,63,57,1,64.0
4.8329302385717524e-05,63,39,5,62.0
4.8329302385717524e-05,127,120,1,63.998
4.8329302385717524e-05,127,50,6,54.0
7.847599703514606e-05,7,4,1,31.998
7.847599703514606e-05,15,11,1,30.0
7.847599703514606e-05,15,7,2,36.002
7.847599703514606e-05,15,5,3,30.006
7.847599703514606e-05,31,26,1,52.0
7.847599703514606e-05,31,11,4,30.002
7.847599703514606e-05,63,57,1,64.0
7.847599703514606e-05,63,39,5,62.002
7.847599703514606e-05,127,120,1,64.0
7.847599703514606e-05,127,50,6,54.0
0.00012742749857031334,7,4,1,32.006
0.00012742749857031334,15,11,1,29.998
0.00012742749857031334,15,7,2,36.014
0.00012742749857031334,15,5,3,30.004
0.00012742749857031334,31,26,1,52.002
0.00012742749857031334,31,11,4,30.004
0.00012742749857031334,63,57,1,63.994
0.00012742749857031334,63,39,5,62.0
0.00012742749857031334,127,120,1,64.0
0.00012742749857031334,127,50,6,54.0
0.00020691380811147902,7,4,1,32.002
0.00020691380811147902,15,11,1,30.0
0.00020691380811147902,15,7,2,36.0
0.00020691380811147902,15,5,3,30.004
0.00020691380811147902,31,26,1,52.0
0.00020691380811147902,31,11,4,30.014
0.00020691380811147902,63,57,1,64.0
0.00020691380811147902,63,39,5,61.998
0.00020691380811147902,127,120,1,64.002
0.00020691380811147902,127,50,6,54.0
0.0003359818286283781,7,4,1,32.016
0.0003359818286283781,15,11,1,29.996
0.0003359818286283781,15,7,2,36.006
0.0003359818286283781,15,5,3,30.004
0.0003359818286283781,31,26,1,52.0
0.0003359818286283781,31,11,4,30.012
0.0003359818286283781,63,57,1,64.0
0.0003359818286283781,63,39,5,62.0
0.0003359818286283781,127,120,1,64.0
0.0003359818286283781,127,50,6,54.0
0.0005455594781168515,7,4,1,32.006
0.0005455594781168515,15,11,1,30.036
0.0005455594781168515,15,7,2,36.004
0.0005455594781168515,15,5,3,30.016
0.0005455594781168515,31,26,1,52.0
0.0005455594781168515,31,11,4,30.006
0.0005455594781168515,63,57,1,64.014
0.0005455594781168515,63,39,5,62.0
0.0005455594781168515,127,120,1,63.998
0.0005455594781168515,127,50,6,54.0
0.0008858667904100823,7,4,1,32.018
0.0008858667904100823,15,11,1,30.026
0.0008858667904100823,15,7,2,36.022
0.0008858667904100823,15,5,3,30.014
0.0008858667904100823,31,26,1,52.01
0.0008858667904100823,31,11,4,30.008
0.0008858667904100823,63,57,1,64.01
0.0008858667904100823,63,39,5,62.002
0.0008858667904100823,127,120,1,63.996
0.0008858667904100823,127,50,6,54.0
0.0014384498882876629,7,4,1,32.064
0.0014384498882876629,15,11,1,30.058
0.0014384498882876629,15,7,2,36.042
0.0014384498882876629,15,5,3,30.014
0.0014384498882876629,31,26,1,52.032
0.0014384498882876629,31,11,4,30.064
0.0014384498882876629,63,57,1,64.024
0.0014384498882876629,63,39,5,61.998
0.0014384498882876629,127,120,1,63.992
0.0014384498882876629,127,50,6,54.014
0.002335721469090121,7,4,1,32.06
0.002335721469090121,15,11,1,30.048
0.002335721469090121,15,7,2,36.048
0.002335721469090121,15,5,3,30.088
0.002335721469090121,31,26,1,52.034
0.002335721469090121,31,11,4,30.042
0.002335721469090121,63,57,1,64.012
0.002335721469090121,63,39,5,61.998
0.002335721469090121,127,120,1,63.978
0.002335721469090121,127,50,6,54.034
0.003792690190732246,7,4,1,32.118
0.003792690190732246,15,11,1,30.122
0.003792690190732246,15,7,2,36.076
0.003792690190732246,15,5,3,30.1
0.003792690190732246,31,26,1,52.068
0.003792690190732246,31,11,4,30.21
0.003792690190732246,63,57,1,64.092
0.003792690190732246,63,39,5,61.98
0.003792690190732246,127,120,1,64.006
0.003792690190732246,127,50,6,54.018
0.00615848211066026,7,4,1,32.138
0.00615848211066026,15,11,1,30.176
0.00615848211066026,15,7,2,36.112
0.00615848211066026,15,5,3,30.182
0.00615848211066026,31,26,1,52.058
0.00615848211066026,31,11,4,30.232
0.00615848211066026,63,57,1,64.068
0.00615848211066026,63,39,5,61.988
0.00615848211066026,127,120,1,63.972
0.00615848211066026,127,50,6,54.072
0.01,7,4,1,32.196
0.01,15,11,1,30.39
0.01,15,7,2,36.166
0.01,15,5,3,30.266
0.01,31,26,1,52.142
0.01,31,11,4,30.45
0.01,63,57,1,64.174
0.01,63,39,5,61.998
0.01,127,120,1,63.806
0.01,127,50,6,54.032
