BER,n,k,t,Bit Errors
4.8329302385717524e-05,127,120,1,19
4.8329302385717524e-05,127,50,6,91
7.847599703514606e-05,7,4,1,83
7.847599703514606e-05,15,11,1,91
7.847599703514606e-05,15,7,2,83
7.847599703514606e-05,15,5,3,77
7.847599703514606e-05,31,26,1,55
7.847599703514606e-05,31,11,4,90
7.847599703514606e-05,63,57,1,30
7.847599703514606e-05,63,39,5,31
7.847599703514606e-05,127,120,1,20
7.847599703514606e-05,127,50,6,85
0.00012742749857031334,7,4,1,80
0.00012742749857031334,15,11,1,90
0.00012742749857031334,15,7,2,82
0.00012742749857031334,15,5,3,77
0.00012742749857031334,31,26,1,54
0.00012742749857031334,31,11,4,90
0.00012742749857031334,63,57,1,34
0.00012742749857031334,63,39,5,23
0.00012742749857031334,127,120,1,18
0.00012742749857031334,127,50,6,92
0.00020691380811147902,7,4,1,81
0.00020691380811147902,15,11,1,92
0.00020691380811147902,15,7,2,82
0.00020691380811147902,15,5,3,76
0.00020691380811147902,31,26,1,50
0.00020691380811147902,31,11,4,90
0.00020691380811147902,63,57,1,32
0.00020691380811147902,63,39,5,23
0.00020691380811147902,127,120,1,26
0.00020691380811147902,127,50,6,92
0.0003359818286283781,7,4,1,84
0.0003359818286283781,15,11,1,94
0.0003359818286283781,15,7,2,85
0.0003359818286283781,15,5,3,77
0.0003359818286283781,31,26,1,52
0.0003359818286283781,31,11,4,90
0.0003359818286283781,63,57,1,30
0.0003359818286283781,63,39,5,24
0.0003359818286283781,127,120,1,29
0.0003359818286283781,127,50,6,92
0.0005455594781168515,7,4,1,83
0.0005455594781168515,15,11,1,89
0.0005455594781168515,15,7,2,84
0.0005455594781168515,15,5,3,75
0.0005455594781168515,31,26,1,46
0.0005455594781168515,31,11,4,90
0.0005455594781168515,63,57,1,27
0.0005455594781168515,63,39,5,34
0.0005455594781168515,127,120,1,27
0.0005455594781168515,127,50,6,92
0.0008858667904100823,7,4,1,81
0.0008858667904100823,15,11,1,90
0.0008858667904100823,15,7,2,83
0.0008858667904100823,15,5,3,76
0.0008858667904100823,31,26,1,57
0.0008858667904100823,31,11,4,89
0.0008858667904100823,63,57,1,38
0.0008858667904100823,63,39,5,26
0.0008858667904100823,127,120,1,25
0.0008858667904100823,127,50,6,92
0.0014384498882876629,7,4,1,84
0.0014384498882876629,15,11,1,93
0.0014384498882876629,15,7,2,82
0.0014384498882876629,15,5,3,77
0.0014384498882876629,31,26,1,47
0.0014384498882876629,31,11,4,90
0.0014384498882876629,63,57,1,40
0.0014384498882876629,63,39,5,31
0.0014384498882876629,127,120,1,28
0.0014384498882876629,127,50,6,92
0.002335721469090121,7,4,1,82
0.002335721469090121,15,11,1,94
0.002335721469090121,15,7,2,83
0.002335721469090121,15,5,3,77
0.002335721469090121,31,26,1,50
0.002335721469090121,31,11,4,92
0.002335721469090121,63,57,1,37
0.002335721469090121,63,39,5,26
0.002335721469090121,127,120,1,21
0.002335721469090121,127,50,6,92
0.003792690190732246,7,4,1,85
0.003792690190732246,15,11,1,85
