BER,n,k,t,Bit Errors
2.9763514416313192e-05,31,26,1,360
2.9763514416313192e-05,31,11,4,243
2.9763514416313192e-05,63,57,1,291
2.9763514416313192e-05,63,39,5,299
2.9763514416313192e-05,127,120,1,359
2.9763514416313192e-05,127,50,6,216
4.8329302385717524e-05,7,4,1,247
4.8329302385717524e-05,15,11,1,261
4.8329302385717524e-05,15,7,2,266
4.8329302385717524e-05,15,5,3,275
4.8329302385717524e-05,31,26,1,374
4.8329302385717524e-05,31,11,4,259
4.8329302385717524e-05,63,57,1,298
4.8329302385717524e-05,63,39,5,292
4.8329302385717524e-05,127,120,1,363
4.8329302385717524e-05,127,50,6,216
7.847599703514606e-05,7,4,1,254
7.847599703514606e-05,15,11,1,272
7.847599703514606e-05,15,7,2,268
7.847599703514606e-05,15,5,3,275
7.847599703514606e-05,31,26,1,349
7.847599703514606e-05,31,11,4,247
7.847599703514606e-05,63,57,1,288
7.847599703514606e-05,63,39,5,307
7.847599703514606e-05,127,120,1,366
7.847599703514606e-05,127,50,6,216
0.00012742749857031334,7,4,1,250
0.00012742749857031334,15,11,1,271
0.00012742749857031334,15,7,2,266
0.00012742749857031334,15,5,3,278
0.00012742749857031334,31,26,1,356
0.00012742749857031334,31,11,4,260
0.00012742749857031334,63,57,1,285
0.00012742749857031334,63,39,5,284
0.00012742749857031334,127,120,1,349
0.00012742749857031334,127,50,6,221
0.00020691380811147902,7,4,1,253
0.00020691380811147902,15,11,1,266
0.00020691380811147902,15,7,2,269
0.00020691380811147902,15,5,3,274
0.00020691380811147902,31,26,1,364
0.00020691380811147902,31,11,4,247
0.00020691380811147902,63,57,1,291
0.00020691380811147902,63,39,5,290
0.00020691380811147902,127,120,1,397
0.00020691380811147902,127,50,6,219
0.0003359818286283781,7,4,1,259
0.0003359818286283781,15,11,1,270
0.0003359818286283781,15,7,2,263
0.0003359818286283781,15,5,3,280
0.0003359818286283781,31,26,1,364
0.0003359818286283781,31,11,4,253
0.0003359818286283781,63,57,1,291
0.0003359818286283781,63,39,5,293
0.0003359818286283781,127,120,1,351
0.0003359818286283781,127,50,6,216
0.0005455594781168515,7,4,1,252
0.0005455594781168515,15,11,1,255
0.0005455594781168515,15,7,2,270
0.0005455594781168515,15,5,3,273
0.0005455594781168515,31,26,1,354
0.0005455594781168515,31,11,4,248
0.0005455594781168515,63,57,1,287
0.0005455594781168515,63,39,5,290
0.0005455594781168515,127,120,1,351
0.0005455594781168515,127,50,6,216
0.0008858667904100823,7,4,1,255
0.0008858667904100823,15,11,1,260
0.0008858667904100823,15,7,2,264
0.0008858667904100823,15,5,3,276
0.0008858667904100823,31,26,1,356
0.0008858667904100823,31,11,4,250
0.0008858667904100823,63,57,1,300
0.0008858667904100823,63,39,5,293
0.0008858667904100823,127,120,1,406
0.0008858667904100823,127,50,6,220
0.0014384498882876629,7,4,1,260
0.0014384498882876629,15,11,1,260
0.0014384498882876629,15,7,2,265
0.0014384498882876629,15,5,3,276
0.0014384498882876629,31,26,1,352
0.0014384498882876629,31,11,4,246
0.0014384498882876629,63,57,1,291
0.0014384498882876629,63,39,5,298
0.0014384498882876629,127,120,1,334
0.0014384498882876629,127,50,6,216
0.002335721469090121,7,4,1,254
0.002335721469090121,15,11,1,273
0.002335721469090121,15,7,2,271
0.002335721469090121,15,5,3,272
0.002335721469090121,31,26,1,353
0.002335721469090121,31,11,4,246
0.002335721469090121,63,57,1,288
0.002335721469090121,63,39,5,289
0.002335721469090121,127,120,1,362
0.002335721469090121,127,50,6,216
0.003792690190732246,7,4,1,253
0.003792690190732246,15,11,1,270
0.003792690190732246,15,7,2,264
0.003792690190732246,15,5,3,274
0.003792690190732246,31,26,1,362
0.003792690190732246,31,11,4,246
0.003792690190732246,63,57,1,291
0.003792690190732246,63,39,5,298
0.003792690190732246,127,120,1,410
0.003792690190732246,127,50,6,216
0.00615848211066026,7,4,1,252
0.00615848211066026,15,11,1,266
0.00615848211066026,15,7,2,270
0.00615848211066026,15,5,3,277
0.00615848211066026,31,26,1,368
0.00615848211066026,31,11,4,250
0.00615848211066026,63,57,1,293
0.00615848211066026,63,39,5,296
0.00615848211066026,127,120,1,339
0.00615848211066026,127,50,6,216
0.01,7,4,1,251
0.01,15,11,1,250
0.01,15,7,2,266
0.01,15,5,3,277
0.01,31,26,1,378
0.01,31,11,4,246
0.01,63,57,1,288
0.01,63,39,5,311
0.01,127,120,1,352
0.01,127,50,6,233
